Comment,Designator,Footprint,LCSC,Quantity
22nF,C11,C0402,C107026,1
1kΩ,"R20,R27",R0402,C11702,2
68kΩ,R5,R0402,C137947,1
300kΩ,"R4,R6",R0402,C138011,2
"CRS08(TE85L,Q,M)","D11,D8,D9",SOD-123_L2.8-W1.8-LS3.7-FD,C141550,3
100kΩ,"R10,R16,R23,R3,R8,R9",R0603,C14675,6
AW9523BTQR,U5,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,C148077,1
4.7uH,"L1,L2",IND-SMD_L4.0-W4.0_FNR40XXS,C167874,2
0Ω,L4,R0402,C17168,1
0Ω,"A0-L1,A1-L1,IntAnt1,LCDPow1,Prot1,SW_ON1,SW_OUT1",R0805,C17477,7
BX-PH2.0-2PWT,LiPo1,CONN-SMD_2P-P2.00_BX-PH2.0-2PWT,C18077890,1
43kΩ,R7,R0402,C185415,1
MT3608B,U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C19189893,1
FPC06-Q0.5-18AH2.0,FPC1,FPC-SMD_18P-P0.50_FPC06-Q0.5-18AH2.0,C19267985,1
HJ8205,Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C20069150,1
100Ω,R15,R0402,C25076,1
TYPE-C 16PIN 2MD(073),USBC1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
ESP32-C3FH4,U1,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,C2858491,1
TSB008A2526A,Reset1,SW-SMD_L6.0-W3.5-LS8.0,C2888456,1
MST22D18G2 125,PowOn1,SW-SMD_MST22D18G2,C2906280,1
DW01A,U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2927799,1
5.1kΩ,"R1,R11,R12,R13,R14,R17,R18,R2,R21",R0603,C3016319,9
2.2kΩ,R19,R0402,C325418,1
16pF,"C13,C14",C0603,C327125,2
TSC2007IPWR,U8,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,C38398,1
QS-301-AGS5P,"But1,But2",SW-SMD_QS-301-AGS5P,C42377853,2
MT3410LB-N,U3,SOT-23-5_L3.0-W1.5-P0.95-LS2.8-BL,C42420805,1
BWU.FL-IPEX1,WiFi1,IPEX-SMD_BWIPX-1-001E,C5137195,1
100nF,"C12,C16,C17,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C5,C8,C9",C0603,C5137636,16
40MHz,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C5261245,1
TP4054,U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C5381776,1
22uF,"C1,C18,C2,C3,C33,C4",C0603,C59461,6
1uF,"C15,C30,C31,C32,C7",C0603,C6119849,5
1pF,"C10,C6",C0402,C72134,2
HCZZ0001-2,CN1,CONN-SMD_2P-P1.25_HC_HCZZ0001-2,C7433453,1
HCZZ0015-3,PowO1,CONN-SMD_3P-P1.25-L3.3-W8.8,C7433469,1
HCZZ0015-4,"I2C1,RGB0,RGB1,RGB2,RGB3",CONN-SMD_4P-P1.25_HCZZ0015-4,C7433470,5
HCZZ0015-5,RS232,CONN-SMD_5P-P1.25_HCZZ0015-5,C7433471,1
HCZZ0015-6,SPI1,CONN-SMD_6P-P1.25_HCZZ0015-6,C7433472,1
RT9080-33GJ5-MS,U9,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C7528830,1
WS2812B-2020,"D1,D12,D2,D3,D4,D5,D6",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,C965555,7
XL-1005UGC,D10,LED0402-RD_GREEN,C965793,1
3.9nH,L3,IND-SMD_L1.0-W0.5-2,C98062,1
AN9520-245,AE1,ANT-SMD_L9.5-W2.1,C99665,1
